X1,LexikalischerFrame,KE1,KEE,KE2,Lesart,Schwierigkeit,Koerzion,No,Date,Genre,Bibl,ContextBefore,Hit,ContextAfter
stürzen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,2325,37622,Belletristik,"Franck, Julia: Lagerfeuer, Köln: DuMont Literatur und Kunst Verlag 2003, S. 264","Manche kamen von weit hergereist, nur um sich dort umzubringen.","Keiner von ihnen stürzte sich nach Westen, der untergehenden Sonne entgegen, in den offenen Pazifik, keiner kehrte den Menschen den Rücken zu.","Sie sprangen ausschließlich in die von Städten umwachsene Bay, auf deren Wellen Tausende wachsamer Augen ruhten."
wenden,Cause_to_move_in_place,Cause_to_move_in_place.Agent,Cause_to_move_in_place.Theme,Cause_to_move_in_place.(Direction),neutral,x,1,2336,37622,Belletristik,"Franck, Julia: Lagerfeuer, Köln: DuMont Literatur und Kunst Verlag 2003, S. 293",Niemand im Saal sang mit.,Die Menschen wandten sich auf ihren Stühlen in Richtung der Kinder.,Auch wir drehten uns auf der Bank um und mußten Hans und seiner Tochter den Rücken zukehren.
drängen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,a,1,2371,37622,Belletristik,"Funke, Cornelia: Tintenherz, Hamburg: Cecilie Dressler Verlag 2003, S. 273",Eins Ihrer Bücher führt mich her. «,"Ein Junge erschien neben Fenoglio in der Tür, ein kleiner Junge, vielleicht fünf Jahre alt, auf der anderen Seite drängte sich ein Mädchen in den Türrahmen.",Neugierig starrte die Kleine erst Mo und dann Meggie an.
graben,Scouring,Scouring.Searcher,Motion.Theme,Motion.Goal+Scouring.Ground,means,a,5,2380,37622,Belletristik,"Funke, Cornelia: Tintenherz, Hamburg: Cecilie Dressler Verlag 2003, S. 320","Pippo ließ Meggies Hand nicht ein einziges Mal los, während sie Flachnase hinterherstolperten.","Er klammerte sich so fest daran, dass seine kurzen Fingernägel sich in ihre Haut gruben.","Warum hat Mo nur nicht auf mich gehört?, dachte sie."
mischen,Cause_to_amalgamate,Cause_to_amalgamate.Agent,Motion.Theme+Cause_to_amalgamate.Part_1,Motion.Goal+Cause_to_amalgamate.Part_2,neutral,x,4,2393,37622,Belletristik,"Funke, Cornelia: Tintenherz, Hamburg: Cecilie Dressler Verlag 2003, S. 406",Mit dem Gesicht zur Wand lag sie da und lauschte in sich hinein.,"Sorge und Freude mischten sich in ihrem Herzen wie zwei Farben, die ineinander liefen.","Jedes Mal, wenn sie die Augen schloss, sah sie die Netze und hinter den Stricken die beiden Gesichter, Staubfingers und das andere, verschwommen wie ein altes Foto."
schleichen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,2394,37622,Belletristik,"Funke, Cornelia: Tintenherz, Hamburg: Cecilie Dressler Verlag 2003, S. 406","In der grauen Zeit zwischen Nacht und Tag wachsen sie besonders schnell, und aus Sekunden spinnen sie eine Ewigkeit.","Einäugige Riesen und Riesenspinnen schlichen sich in Meggies Schlaf, Höllenhunde, Kinder fressende Hexen, alle Schreckgestalten, die ihr je im Reich der Buchstaben begegnet waren.","Sie krochen aus der Kiste, die Mo ihr gebaut hatte, und zwängten sich aus den Seiten ihrer Lieblingsbücher hervor."
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,a,1,2405,37622,Belletristik,"Funke, Cornelia: Tintenherz, Hamburg: Cecilie Dressler Verlag 2003, S. 478","Meggie spürte, wie Bastas Griff sich lockerte.",Die Klinge drückte sich nicht mehr in ihre Haut.,Sie schluckte und fasste nach ihrem Hals.
schleichen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,2422,37622,Belletristik,"Funke, Cornelia: Tintenherz, Hamburg: Cecilie Dressler Verlag 2003, S. 565","Sie schärfte ihnen allen ein, das Grundstück möglichst nicht zu verlassen.","Sie warnte sie eindringlich vor den Gefahren der Welt, die jenseits ihrer Hecken lag, aber schon bald schwirrten die Feen nachts zum See hinunter, die Kobolde schlichen sich in die schlafenden Dörfer an seinem Ufer und die Glasmenschen verschwanden im hohen Gras, das die Hänge der angrenzenden Berge bedeckte.","»Mach dir nicht zu viel Sorgen«, sagte Mo, als Elinor wieder einmal über so viel Unvernunft stöhnte."
krallen,Manipulation,Manipulation.Agent,Motion.Theme,Motion.Goal+Manipulation.Entity,manner,a,5,2429,37622,Belletristik,"Hahn, Ulla: Unscharfe Bilder, München: Deutsche Verlags-Anstalt 2003, S. 38",Explosionen.,"Ich kralle mich in den Dreck, hebe den Kopf.","Einen Moment lang glaube ich, die ganze Reihe Soldaten vor mir sei in die Luft geblasen."
heulen,Make_noise,Make_noise.Sound_source,Motion.Theme,Motion.Goal,incidental,a,7,2438,37622,Belletristik,"Hahn, Ulla: Unscharfe Bilder, München: Deutsche Verlags-Anstalt 2003, S. 103",»Verluste? Tote!«,"» ... für die vielen Toten und Verwundeten hergeschickt worden waren, nachgerückt wie Kegel im Spiel«, machte der Vater seinen Fehler wieder gut, »junge Kerle, gerade Abitur gemacht, heulten sich auf ihren Strohschütten in den Erdbunkern, wo wir uns zusammendrängten, in den Schlaf.","Unsere Jüngsten, sage ich, dabei waren sie doch kaum drei Jahre jünger als Hugo und ich, als die meisten von uns."
ducken,Body_movement,Body_movement.Agent,NA,Body_movement.(Goal),manner,x,1,2442,37622,Belletristik,"Hahn, Ulla: Unscharfe Bilder, München: Deutsche Verlags-Anstalt 2003, S. 143",Jetzt wußten wir Bescheid und suchten Deckung hinter ihnen.,"Da duckten sich die Russen in ihre Löcher, und manche warfen sogar die Waffen weg.",Aber die Unseren gingen von Loch zu Loch und erschossen jeden.
verkriechen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,2443,37622,Belletristik,"Hahn, Ulla: Unscharfe Bilder, München: Deutsche Verlags-Anstalt 2003, S. 166","Doch dann schienen die mahnenden Plaketten vergessen, Musbach wieder von der eigenen Vergangenheit gejagt.","Katja verkroch sich in ihre Jacke, als ob sie fröre.","»Wir waren, glaube ich, bei Hugo«, begann er."
fressen,Ingestion,Ingestion.Ingestor,Motion.Theme,Motion.Goal+Ingestion.Ingestibles,means,cx,5,2444,37622,Belletristik,"Hahn, Ulla: Unscharfe Bilder, München: Deutsche Verlags-Anstalt 2003, S. 170","Ganz leicht, kaum eine Bewegung, als durchführe ihn ein schwacher elektrischer Strom.","Er spürte wieder jenen Würgegriff um den Schädel, den tödlichen Druck vom Nasenbein her; wie eine Säure fraß sich die Angst noch einmal in seine Bauchhöhle und die Verzweiflung, mit der sich damals sein Leben, sein einziges, eigenes Leben zum ersten Mal als verlorenes zu erkennen gegeben hatte.","Wieder versuchte Katja, den Vater in die Arme zu nehmen, und diesmal ließ er es geschehen."
krallen,Manipulation,Manipulation.Agent,Motion.Theme,Motion.Goal+Manipulation.Entity,manner,a,5,2452,37622,Belletristik,"Hahn, Ulla: Unscharfe Bilder, München: Deutsche Verlags-Anstalt 2003, S. 222","Was nicht heißt, daß sie nicht genauso brutal sein konnten wie die unsrigen.","Einmal, als ich später mit ihnen auf der Flucht war vor dem ebenfalls fliehenden deutschen Heer, lag da ein verwundeter Deutscher und krallte sich vor Schmerz in die Erde.",Einer der Partisanen drosch auf ihn ein:
fressen,Ingestion,Ingestion.Ingestor,Motion.Theme,Motion.Goal+Ingestion.Ingestibles,means,x,5,2494,37622,Belletristik,"Müller, Herta: Der König verneigt sich und tötet, München: Carl Hanser Verlag 2003, S. 161","Niemand traute sich, darüber zu reden.","Auch wenn ich als Kind die Inhalte der Angst nicht kapierte, fraß sich das Gefühl der Angst in den Kopf.",Alle in meiner Familie waren beschädigt.
einfädeln,Cause_to_amalgamate,Cause_to_amalgamate.Agent,Motion.Theme+Cause_to_amalgamate.Part_1,Motion.Goal+Cause_to_amalgamate.Part_2,means,c,4,2509,37622,Belletristik,"Riedel, Susanne: Eine Frau aus Amerika, Berlin: Berlin Verlag 2003, S. 15",Ein Rauschen vor den Fenstern.,Im Regen fädelte sich das Taxi mit wütenden Geräuschen in die Wagenschlange auf der Stadtautobahn ein.,Das Murmeln des Motors erinnerte mich an die endlosen Selbstgespräche von Sharons Freund Michael im Flugzeug.
stürzen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,2511,37622,Belletristik,"Riedel, Susanne: Eine Frau aus Amerika, Berlin: Berlin Verlag 2003, S. 27",Sein Konsolenschalter jedenfalls war zweifellos ein automatischer Fensterheber.,"Das kleine Bild der Kurbel, das in meinem Kopf lebte, stürzte sich in die Tiefe zwischen mir und dem blendenden Asphalt.","Ein einsamer Suizid, von dem ich keine Notiz nahm, da der drohende Asthmaanfall alle Reserven forderte."
drehen,Cause_to_move_in_place,Cause_to_move_in_place.Agent,Cause_to_move_in_place.Theme,Cause_to_move_in_place.(Direction),neutral,cx,1,2518,37622,Belletristik,"Riedel, Susanne: Eine Frau aus Amerika, Berlin: Berlin Verlag 2003, S. 62","»Ich beschreibe da übrigens«, sagt sie, »in meinem neuen Buch einen Dozenten, auch einen sehr intelligenten und gutaussehenden Mann, der am Ende sogar seine Studentin auf dem Schreibtisch nimmt.«","Ausgiebig und entschieden geht ein Lächeln in Jo-Hannes' Gesicht auf, er dreht sich unmerklich in ihre Richtung.","»Im Gegensatz zu manch anderem«, sagt sie, »bin ich nämlich der Ansicht, daß die Reinheit Ihrer Lehre ein Phantom ist, an dem sich ein paar körperlose Intellektuelle von Zeit zu Zeit einen runterholen.«"
graben,Scouring,Scouring.Searcher,Motion.Theme,Motion.Goal+Scouring.Ground,means,a,5,2522,37622,Belletristik,"Riedel, Susanne: Eine Frau aus Amerika, Berlin: Berlin Verlag 2003, S. 85",Aber nun wird es mir zuviel.,"Sharon gräbt sich tiefer in den Sand, woraus ich schließe, daß sie ihren eigenen Gefühlen schon sehr nah gekommen ist.","»Deshalb«, sagt sie, »seid ihr Dichter ja so gute Deutsche."
einfräsen,Grinding,Grinding.Grinder,Motion.Theme+Grinding.Patient,Motion.Goal+Grinding.Goal,means,x,4,2524,37622,Belletristik,"Riedel, Susanne: Eine Frau aus Amerika, Berlin: Berlin Verlag 2003, S. 95","»Schwörst du als Biologe etwa auf einen Noah, der das ganze weite Meer mit dem eigenen Mund aussäuft?«","Ein Motor dröhnt von der Straße herüber, und diese dröhnende Straße fräst sich in mein Gedächtnis ein.","Ich glaube nicht, daß ich den Ausdruck in ihren Augen vergessen kann."
stürzen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,2527,37622,Belletristik,"Riedel, Susanne: Eine Frau aus Amerika, Berlin: Berlin Verlag 2003, S. 99","Buchstäblich entgeistert flanierte sie zwischen Riffen, deren bloßer Anblick mich bereits das Leben kostete, frei ihr Dasein zu durchschreiten, weitab von den Gespenstern eigener Geschichte.",Wie einst Kolumbus lief ich durch den unbekannten Bahnhof und stürzte mich schließlich in die Kabine einer öffentlichen Toilette.,"Weil ich nicht wollte, daß mich jemand mit dem Stadtplan sah, schloß ich ab."
werfen,Body_movement,Body_movement.Agent,Body_movement.Body_part,Body_movement.(Goal),manner,b,1,2532,37622,Belletristik,"Riedel, Susanne: Eine Frau aus Amerika, Berlin: Berlin Verlag 2003, S. 111","Tiefer unter der Erde, in unserem Keller, glühte der Ofen vom Morgen nach.","Ich warf mich in die Hitze, weil ich süchtig nach ihr war, krebsrot, aber ich konnte nicht genug bekommen.","Noch in derselben Minute begann das Singen, alberne Geräusche, ein hartnäckiger Ruf, der in den Nachmittag schnitt."
werfen,Body_movement,Body_movement.Agent,Body_movement.Body_part,Body_movement.(Goal),manner,x,1,2534,37622,Belletristik,"Riedel, Susanne: Eine Frau aus Amerika, Berlin: Berlin Verlag 2003, S. 141","»Wenn ich schon solche Fragen höre«, sagt Sharon.",Sie wirft sich in Positur.,»Hannes?
fressen,Ingestion,Ingestion.Ingestor,Motion.Theme,Motion.Goal+Ingestion.Ingestibles,means,x,5,2547,37622,Belletristik,"Riedel, Susanne: Eine Frau aus Amerika, Berlin: Berlin Verlag 2003, S. 184","Samstag, 20. Oktober, Lake Erie, Pennsylvania",Ginster frißt sich mit knorrigen Fingern in den Felsblock und lächelt unter Lichtflecken wie ein bekränzter Gott.,"Zwar benötigen die Weißdorn- und Hagebuttensträucher nur wenig Wasser, könnten aber, sobald die Sonne nachläßt, einen sanften Guß vertragen."
begeben,Motion,Motion.Theme,NA,Motion.Goal,neutral,c,1,2570,37987,Belletristik,"Düffel, John von: Houwelandt, Köln: DuMont Literatur und Kunst Verlag 2004, S. 98",Es kamen fast ausschließlich Männer.,Jorge begab sich ungern in Gesellschaft und verabscheute die Kumpanei der Kranken am Tresen von Luisa Mejía.,"Es widerstrebte ihm, sich mit dem Siechtum der anderen gemein zu machen und sich einzulassen auf den heimlichen Wettstreit der Gebrechlichen um den Elendspokal."
ducken,Body_movement,Body_movement.Agent,NA,Body_movement.(Goal),manner,x,1,2581,37987,Belletristik,"Düffel, John von: Houwelandt, Köln: DuMont Literatur und Kunst Verlag 2004, S. 154",Unter dem Strohdach des Merendero stand Hermann Lobeck mit einem Bocadillo in der Faust und hielt nach ihm Ausschau.,"Für einen Sekundenbruchteil hatten sie Blickkontakt, dann duckte sich Jorge wieder ins Wasser und stieß in einem langgestreckten Zug voran.","Er wollte nicht mit Lobeck sprechen, weder über Esther noch über ihre Reise und schon gar nicht über den Jungen."
mischen,Cause_to_amalgamate,Cause_to_amalgamate.Agent,Motion.Theme+Cause_to_amalgamate.Part_1,Motion.Goal+Cause_to_amalgamate.Part_2,neutral,x,4,2662,37987,Belletristik,"Suter, Martin: Lila, Lila, Zürich: Diogenes 2004, S. 15",Nicht aus den üblichen Gründen.,"Myrtha, so mußte sie ihre Mutter seit frühster Kindheit nennen, mischte sich nicht in ihre Angelegenheiten.","Im Gegenteil, sie ließ Marie ihr Leben leben und lebte ihres."
wenden,Cause_to_move_in_place,Cause_to_move_in_place.Agent,Cause_to_move_in_place.Theme,Cause_to_move_in_place.(Direction),neutral,x,1,2695,37987,Belletristik,"Suter, Martin: Lila, Lila, Zürich: Diogenes 2004, S. 211","Sobald sie sich an den Gästen, die den Zugang zur Bar versperrten, vorbeigeschoben hatten und mit der Unentschlossenheit von Neuankömmlingen zwischen den schon Dagewesenen herumstanden, rief jemand laut: »David Kern!«","Ein paar Dutzend Gesichter wandten sich zuerst in die Richtung der Stimme und danach in die, wohin der kleine Mann mit der Fliege winkte.",Das also ist David Kern.
wenden,Cause_to_move_in_place,Cause_to_move_in_place.Agent,Cause_to_move_in_place.Theme,Cause_to_move_in_place.(Direction),neutral,x,1,2696,37987,Belletristik,"Suter, Martin: Lila, Lila, Zürich: Diogenes 2004, S. 211","Sobald sie sich an den Gästen, die den Zugang zur Bar versperrten, vorbeigeschoben hatten und mit der Unentschlossenheit von Neuankömmlingen zwischen den schon Dagewesenen herumstanden, rief jemand laut: »David Kern!«","Ein paar Dutzend Gesichter wandten sich zuerst in die Richtung der Stimme und danach in die, wohin der kleine Mann mit der Fliege winkte.",Das also ist David Kern.
arbeiten,Work,Work.Agent,Motion.Theme,Motion.Direction,incidental,a,7,2710,37987,Belletristik,"Suter, Martin: Lila, Lila, Zürich: Diogenes 2004, S. 344","Marie war nicht dabei, stellte David eher erleichtert als enttäuscht fest.","Er schaute sich noch ein wenig um und begann, sich wieder in Richtung Ausgang vorzuarbeiten.","Er wollte zur nächsten Station, dem Volume."
quetschen,Manipulation,Manipulation.Agent,Motion.Theme+Manipulation.Entity,Motion.Goal,means,a,6,2733,37987,Belletristik,"Widmer, Urs: Das Buch des Vaters, Zürich: Diogenes 2004, S. 142",(Vielleicht hatten sie sich untereinander verabredet.),"Sie quetschten sich ebenfalls in den Raum, der nicht viel größer als das Ehebett war, das in ihm stand.","Sie lagerten also auf dem Bett – ein paar saßen auch auf den Fenstersimsen oder auf Claras Damenschreibtisch –, küßten die, die ihnen nahe waren – egal, ob Mann oder Frau – und hieben sich auf die Schultern."
geben,Giving,Giving.Donor,Giving.Theme,Motion.Goal+Giving.Recipient,neutral,x,5,2772,37987,Wissenschaft,"Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 108","Franz begeht Selbstmord; der Vater, der in seinem Grab überlebt hat, stirbt vor Entsetzen, als Karl sich zu erkennen gibt; Amalia stirbt durch die Hand Karls, der keinen anderen Ausweg mehr sieht im Konflikt zwischen seiner Liebe für Amalia und der Treue zur Bande.",Durch die Opferung Amalias befreit sich Karl von den Verpflichtungen gegenüber der Bande und gibt sich dann in die Hände der Justiz.,"In der Selbstrezension von 1782, verfaßt kurz nach der Uraufführung, kritisiert Schiller die mangelnde Wirklichkeitsnähe seiner Figuren."
wünschen,Desiring,Desiring.Experiencer,Motion.Theme,Motion.Goal+Desiring.Event,means,x,5,2775,37987,Wissenschaft,"Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 113","Ich allein der Verstoßene, ich allein ausgemustert aus den Reihen der Reinen (1, 561 f.).","Er wünscht sich, von der Vaterwelt enttäuscht, in den Mutterleib zurück, deshalb fügt es sich gut, daß in diesem Augenblick seine Spießgesellen einen Räuberhauptmann suchen.",Statt in den Mutterleib flüchtet er sich in den Schoß einer Räuberbande.
geben,Giving,Giving.Donor,Giving.Theme,Motion.Goal+Giving.Recipient,neutral,x,5,2776,37987,Wissenschaft,"Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 115","Der Vater stirbt vor Entsetzen, Amalia wird von Karl getötet.","Die Räuberbande löst sich nicht auf und wird wohl ihr verbrecherisches Treiben fortsetzen, und Karl gibt sich in die Hände einer Justiz, über deren Korruption wir zuvor durch seine anklägerischen Reden in Kenntnis gesetzt wurden.","Es gibt am Ende keine Versöhnung, sondern nur den Triumph der stolzen Freiheit bei Karl, der seinem Selbst getreu bleibt."
stürzen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,2785,37987,Wissenschaft,"Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 134",Dalberg jedoch hält sich bedeckt und läßt Schiller im Ungewissen.,"Der stürzt sich in die Arbeit am »Fiesko«, weil er immer noch glaubt, daß nach dem Erfolg der »Räuber« seine Zukunft das Theater und nicht die Medizin ist.","Jedenfalls unternimmt er keine Anstrengungen, das zusätzliche Doktorexamen abzulegen."
stürzen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,2813,37987,Wissenschaft,"Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 256",Das macht seinen menschlichen Adel aus und stellt den ursprünglichen Freundschaftsbund auf tragische Weise wieder her.,"Und doch bleibt auch bei diesem Selbstopfer der Verdacht zurück, den die Königin dem Marquis gegenüber formuliert: Sie stürzten sich in diese Tat, die Sie / Erhaben nennen ... / Ich kenne Sie, Sie haben längst darnach / Gedürstet - Mögen tausend Herzen brechen, / Was kümmert Sies, wenn sich Ihr Stolz nur weidet (Vers 4380-84).",Schiller thematisiert das prekäre Verhältnis von Moral und Hypermoral.
drängen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,a,1,2856,37987,Wissenschaft,"Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 422","»Gerade in diesem Journale, das dem Deutschen Volke recht eigentlich gewidmet sein soll, treibt sich ein Häufchen idiosynkratischer Schriftsteller in seinem engen Kreis herum, in welchen kein anderer, als ein Eingeweihter treten, und mit dem Volke so wenig gemein haben kann, daß es vielmehr davor, als vor einem Zauberkreise zurückbeben wird«.",Zunächst aber drängen sich viele Autoren in diesen »Zauberkreis«.,"Manche, die abgewiesen wurden, haben später über das Blatt gespottet."
stürzen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,b,1,2883,37987,Wissenschaft,"Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 482",Doch dann folgt - und dies ist die zweite große Abweichung von den historischen Fakten - im letzten Akt ihre erneute Erhöhung:,"sie zerreißt ihre Ketten und stürzt sich in die Schlacht, die durch ihr Eingreifen siegreich endet; sie selbst aber wird verwundet und stirbt, die Vision des himmlischen Reiches vor Augen.",Den Unterschied zwischen ihrer ersten Erwählung und dieser zweiten Erhöhung hat Schiller in einem Brief an Goethe vom 3. April 1801 so beschrieben:
mischen,Cause_to_amalgamate,Cause_to_amalgamate.Agent,Motion.Theme+Cause_to_amalgamate.Part_1,Motion.Goal+Cause_to_amalgamate.Part_2,neutral,x,4,2885,37987,Wissenschaft,"Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 485",›Dieser ist es!‹ «,"in diese Begeisterung mischten sich die ersten vaterländischen Gefühle, die wenig später in den antinapoleonischen Befreiungskriegen mächtig hervorbrachen.","Man verstand die »Jungfrau von Orleans« nicht nur als romantisches Zauberspiel, sondern man vernahm dann auch eine politische Botschaft."
einfädeln,Cause_to_amalgamate,Cause_to_amalgamate.Agent,Motion.Theme+Cause_to_amalgamate.Part_1,Motion.Goal+Cause_to_amalgamate.Part_2,means,cx,4,2912,38353,Belletristik,"Boie, Kirsten: Skogland, Ort: Hamburg 2005, S. 74","Ein junger Mann im Overall, der selbst aussah, als spiele er in einem Film, groß und blond auch er, öffnete und sie fuhren auf eine breite Ausfallstraße.",Der Wagen fädelte sich lautlos in den fließenden Verkehr ein.,"»Ich dachte, das hättest du vorhin schon verstanden!«, sagte Hilgard."
mischen,Cause_to_amalgamate,Cause_to_amalgamate.Agent,Motion.Theme+Cause_to_amalgamate.Part_1,Motion.Goal+Cause_to_amalgamate.Part_2,neutral,x,4,2919,38353,Belletristik,"Boie, Kirsten: Skogland, Ort: Hamburg 2005, S. 143","»Danke!«, murmelte er.","Vielleicht hatte der Fahrer sein Radio nicht eingeschaltet, vielleicht hatte er die Suchmeldung nicht gehört, aber jetzt mischte sich doch leise Musik in das Motorengeräusch.","»Ist wirklich kein Wetter, um nachts zu Fuß unterwegs zu sein!«, sagte der Fahrer."
schleichen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,2939,38353,Belletristik,"Boie, Kirsten: Skogland, Ort: Hamburg 2005, S. 339",Vielleicht gab es einen Ausweg.,»Du schleichst dich jetzt hoch in dein Zimmer und schaltest immerzu das Licht an und aus.,"An und wieder aus, an und wieder aus, hast du mich verstanden?"
werfen,Body_movement,Body_movement.Agent,Body_movement.Body_part,Body_movement.(Goal),manner,x,1,2944,38353,Belletristik,"Boie, Kirsten: Skogland, Ort: Hamburg 2005, S. 368","Auf der Treppe, die an der dem Meer zugewandten Seite vom Haus aus auf einen schmalen Betonweg führte, stand eine Frau: groß, hoch aufgerichtet und noch in ihrer Erschöpfung majestätisch.","»Mama!«, rief Jarven und warf sich in ihre Arme.","»Oh, Mama, Mama!«"
reden,Chatting,Chatting.Interlocutor_1,Motion.Theme,Motion.Goal,incidental,x,7,3001,38353,Belletristik,"Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 115","Aber Georg zufolge verlieren wir Leser, gerade weil wir Anzeigen drucken.","Er redete sich in Rage, wir hielten unsere Absprachen nicht ein und würfen mir nichts, dir nichts unser eigentliches Anliegen über Bord.","Doch nachdem jeder das Seine gesagt hatte, war der Streit auch schon überstanden."
schleichen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,a,1,3013,38353,Belletristik,"Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 172","Nicht Tagebuch sollte ich schreiben, sondern ein Werk, eines, das wie kein anderes Gottes Wirken verherrlichen sollte.","Ich schlich mich ins Wohnzimmer, in dem der Duft des Westkaffees und der Fa-Seife mit den einheimischen Gerüchen rang, und entnahm einer Schublade den Briefpapierblock meiner Mutter.","Ich schlug ihn auf, legte das Linienpapier zurecht, nahm den Füller, steckte die Kappe hinten auf und schrieb, ohne zu zögern, oben in die Mitte: Geburt, darunter: eine Erzählung von -neue Zeile: Enrico Türmer."
fressen,Ingestion,Ingestion.Ingestor,Motion.Theme,Motion.Goal+Ingestion.Ingestibles,means,x,5,3018,38353,Belletristik,"Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 195","Denken Sie an die Wanderkarte vor einem Ausflugslokal, auf der mit rotem Punkt Ihr Standort markiert ist, bis ihn die unzähligen Fingerkuppen, die Tag für Tag darauf tippen, auslöschen.","Mit den Jahren frißt sich der weiße Fleck in die Umgebung, verschwinden Sehenswürdigkeiten und Aussichtspunkte, ein Dorf, eine Stadt, alles nur eine Frage des Maßstabs.","Natürlich ist das keine spezielle Verfehlung meinerseits, sondern die übliche Praxis der Schreiber."
bringen,Bringing,Bringing.Agent,Bringing.Theme,Bringing.Goal,neutral,x,1,3044,38353,Belletristik,"Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 395",Hier jedoch ist man allein mit dem Bild.,Selbst die Leute von der Aufsicht bleiben verborgen und bringen sich allenfalls durch das entfernte Knarren des Parketts in Erinnerung.,Hier war ich bereits in Italien.
hüllen,Placing,Placing.Agent,Placing.Theme,Placing.Goal,neutral,x,1,3048,38353,Belletristik,"Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 428","Der Kleine sagte etwas in der Art, daß wir es in der Bruchbude hier ja gemütlich hätten, eine belanglose Bemerkung, wie ich fand.","Solche Beurteilungen solle er sich besser sparen, erwiderte Jörg mit eisiger Miene und hüllte sich in Schweigen, bis die beiden gegangen waren.","Er sei nicht gewillt, platzte er dann heraus, solche Anzüglichkeiten hinzunehmen."
zwängen,Manipulation,Manipulation.Agent,Motion.Theme+Manipulation.Entity,Motion.Goal,means,a,6,3058,38353,Belletristik,"Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 485",Leicht als Übertreibung erkennbare Beschreibung.,Plötzlich verschwand die Robbe von unserer Seite und zwängte sich in die Menschenkette vor den Uniformierten.,"Dabei sah er nach links und nach rechts, als ginge es darum, sich beim Schlußapplaus gleichzeitig mit den anderen zu verbeugen."
einfädeln,Cause_to_amalgamate,Cause_to_amalgamate.Agent,Motion.Theme+Cause_to_amalgamate.Part_1,Motion.Goal+Cause_to_amalgamate.Part_2,means,x,4,3072,38353,Belletristik,"Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 584","Fünf Minuten später erreichten wir die Autobahn, dahinter leuchtete der Funkturm.",Ich fädelte mich in den Verkehr ein.,Nach ein paar hundert Metern wechselte ich auf die mittlere Spur.
ergießen,Mass_motion,Mass_motion.Mass_theme,Mass_motion.Mass_theme,Mass_motion.Path,neutral,x,1,3124,38718,Belletristik,"Düffel, John von: Vom Wasser, München: dtv 2006, S. 35","Doch jetzt, da die ersten Entsetzensschreie das Schweigen über dem Fluß und der Mißgunst gebrochen hatten, jetzt gab es kein Halten mehr, und wie von einem Bann der Stille erlöst, riefen und redeten sie alle drauflos.","Die ehrfurchtsvolle Zurückhaltung der vergangenen Tage ergoß sich in Geschwätzigkeit, lautes Rufen und das vielstimmige Geschrei, das den Sohn aus seiner Rechenruhe gerissen hatte.","Und es umschwirrte ihn auch jetzt noch, als er hinunter zum Wasser schritt, dahin, wo sich sein Vater aus der Vergessenheit des schwarzen Stromes losgerissen hatte und aufgetaucht war wie ein Ungetüm aus einer anderen Zeit, um noch einmal all seine Leute um sich zu scharen."
